ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
SEN,Fatick,6822894,Malaria prevalence according to RDT,4.2,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444010,1444315,Region,..Fatick,0,,0,1,MLPMALCRDT,SNDHS2010444010,2010-11,DHS,244,316,0.2,8.1,1
SEN,Kaolack (2005),5140253,Malaria prevalence according to RDT,4.8,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444006,1444320,Region,..Kaolack (2005),0,,0,1,MLPMALCRDT,SNDHS2010444006,2010-11,DHS,523,685,2.9,6.7,
SEN,..Kaffrine,1297147,Malaria prevalence according to RDT,6,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444007,1444330,Region,....Kaffrine,0,,0,1,MLPMALCRDT,SNDHS2010444007,2010-11,DHS,187,300,2.1,9.9,1
SEN,..Kaolack (2010),5880934,Malaria prevalence according to RDT,4.1,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444008,1444340,Region,....Kaolack (2010),0,,0,1,MLPMALCRDT,SNDHS2010444008,2010-11,DHS,336,385,2,6.2,1
SEN,Sud,60699,Malaria prevalence according to RDT,6,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444011,1444400,Region,Sud,0,,0,1,MLPMALCRDT,SNDHS2010444011,2010-11,DHS,472,811,3.2,8.9,
SEN,Ziguinchor,192154,Malaria prevalence according to RDT,0.4,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444012,1444410,Region,..Ziguinchor,0,,0,1,MLPMALCRDT,SNDHS2010444012,2010-11,DHS,110,173,0,1.3,1
SEN,Kolda (2005),4974627,Malaria prevalence according to RDT,7.8,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444013,1444420,Region,..Kolda (2005),0,,0,1,MLPMALCRDT,SNDHS2010444013,2010-11,DHS,361,638,4.2,11.3,
SEN,..Sédhiou,144823,Malaria prevalence according to RDT,0.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444014,1444430,Region,....Sédhiou,0,,0,1,MLPMALCRDT,SNDHS2010444014,2010-11,DHS,133,293,0,1.6,1
SEN,..Kolda (2010),1273589,Malaria prevalence according to RDT,11.9,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444015,1444440,Region,....Kolda (2010),0,,0,1,MLPMALCRDT,SNDHS2010444015,2010-11,DHS,228,345,6.9,16.8,1
SEN,Tambacounda (2005),192149,Malaria prevalence according to RDT,4.2,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444019,1444480,Region,..Tambacounda (2005),0,,0,1,MLPMALCRDT,SNDHS2010444019,2010-11,DHS,238,422,0.3,8,
SEN,..Kédougou,5069290,Malaria prevalence according to RDT,8.4,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444020,1444490,Region,....Kédougou,0,,0,1,MLPMALCRDT,SNDHS2010444020,2010-11,DHS,30,127,2.1,14.7,1
SEN,..Tambacounda (2010),128485,Malaria prevalence according to RDT,3.5,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444021,1444500,Region,....Tambacounda (2010),0,,0,1,MLPMALCRDT,SNDHS2010444021,2010-11,DHS,208,295,0,7.7,1
SEN,Nord et Est,2174799,Number of children 6-59 months tested using RDT,605,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444016,1444100,Region,Nord et Est,0,,0,1,MLPMALCNMR,SNDHS2010444016,2010-11,DHS,,910,,,
SEN,Saint Louis,2174823,Number of children 6-59 months tested using RDT,225,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444018,1444110,Region,..Saint Louis,0,,0,1,MLPMALCNMR,SNDHS2010444018,2010-11,DHS,,230,,,1
SEN,Louga,2180558,Number of children 6-59 months tested using RDT,274,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444009,1444120,Region,..Louga,0,,0,1,MLPMALCNMR,SNDHS2010444009,2010-11,DHS,,301,,,1
SEN,Matam,4959411,Number of children 6-59 months tested using RDT,142,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444017,1444130,Region,..Matam,0,,0,1,MLPMALCNMR,SNDHS2010444017,2010-11,DHS,,258,,,1
SEN,Ouest,6261483,Number of children 6-59 months tested using RDT,1217,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444001,1444200,Region,Ouest,0,,0,1,MLPMALCNMR,SNDHS2010444001,2010-11,DHS,,542,,,
SEN,Dakar,2181958,Number of children 6-59 months tested using RDT,765,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444002,1444210,Region,..Dakar,0,,0,1,MLPMALCNMR,SNDHS2010444002,2010-11,DHS,,259,,,1
SEN,Thiès,4558198,Number of children 6-59 months tested using RDT,452,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444003,1444220,Region,..Thiès,0,,0,1,MLPMALCNMR,SNDHS2010444003,2010-11,DHS,,283,,,1
SEN,Centre,6512474,Number of children 6-59 months tested using RDT,1485,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444004,1444300,Region,Centre,0,,0,1,MLPMALCNMR,SNDHS2010444004,2010-11,DHS,,1624,,,
SEN,Diourbel,4692088,Number of children 6-59 months tested using RDT,444,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444005,1444310,Region,..Diourbel,0,,0,1,MLPMALCNMR,SNDHS2010444005,2010-11,DHS,,322,,,1
SEN,Fatick,6841353,Number of children 6-59 months tested using RDT,244,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444010,1444315,Region,..Fatick,0,,0,1,MLPMALCNMR,SNDHS2010444010,2010-11,DHS,,316,,,1
SEN,Kaolack (2005),5241333,Number of children 6-59 months tested using RDT,523,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444006,1444320,Region,..Kaolack (2005),0,,0,1,MLPMALCNMR,SNDHS2010444006,2010-11,DHS,,685,,,
SEN,..Kaffrine,2181913,Number of children 6-59 months tested using RDT,187,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444007,1444330,Region,....Kaffrine,0,,0,1,MLPMALCNMR,SNDHS2010444007,2010-11,DHS,,300,,,1
SEN,..Kaolack (2010),5939007,Number of children 6-59 months tested using RDT,336,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444008,1444340,Region,....Kaolack (2010),0,,0,1,MLPMALCNMR,SNDHS2010444008,2010-11,DHS,,385,,,1
SEN,Sud,2166794,Number of children 6-59 months tested using RDT,472,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444011,1444400,Region,Sud,0,,0,1,MLPMALCNMR,SNDHS2010444011,2010-11,DHS,,811,,,
SEN,Ziguinchor,2313863,Number of children 6-59 months tested using RDT,110,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444012,1444410,Region,..Ziguinchor,0,,0,1,MLPMALCNMR,SNDHS2010444012,2010-11,DHS,,173,,,1
SEN,Kolda (2005),4834514,Number of children 6-59 months tested using RDT,361,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444013,1444420,Region,..Kolda (2005),0,,0,1,MLPMALCNMR,SNDHS2010444013,2010-11,DHS,,638,,,
SEN,..Sédhiou,2181944,Number of children 6-59 months tested using RDT,133,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444014,1444430,Region,....Sédhiou,0,,0,1,MLPMALCNMR,SNDHS2010444014,2010-11,DHS,,293,,,1
SEN,..Kolda (2010),5637103,Number of children 6-59 months tested using RDT,228,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444015,1444440,Region,....Kolda (2010),0,,0,1,MLPMALCNMR,SNDHS2010444015,2010-11,DHS,,345,,,1
SEN,Tambacounda (2005),2181907,Number of children 6-59 months tested using RDT,238,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444019,1444480,Region,..Tambacounda (2005),0,,0,1,MLPMALCNMR,SNDHS2010444019,2010-11,DHS,,422,,,
SEN,..Kédougou,5350735,Number of children 6-59 months tested using RDT,30,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444020,1444490,Region,....Kédougou,0,,0,1,MLPMALCNMR,SNDHS2010444020,2010-11,DHS,,127,,,1
SEN,..Tambacounda (2010),2166769,Number of children 6-59 months tested using RDT,208,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMR,125136060,D,444021,1444500,Region,....Tambacounda (2010),0,,0,1,MLPMALCNMR,SNDHS2010444021,2010-11,DHS,,295,,,1
SEN,Nord et Est,2174816,Number of children 6-59 months tested using RDT (unweighted),910,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444016,1444100,Region,Nord et Est,0,,0,1,MLPMALCUNR,SNDHS2010444016,2010-11,DHS,605,,,,
SEN,Saint Louis,2320144,Number of children 6-59 months tested using RDT (unweighted),230,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444018,1444110,Region,..Saint Louis,0,,0,1,MLPMALCUNR,SNDHS2010444018,2010-11,DHS,225,,,,1
SEN,Louga,2180574,Number of children 6-59 months tested using RDT (unweighted),301,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444009,1444120,Region,..Louga,0,,0,1,MLPMALCUNR,SNDHS2010444009,2010-11,DHS,274,,,,1
SEN,Matam,2455787,Number of children 6-59 months tested using RDT (unweighted),258,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444017,1444130,Region,..Matam,0,,0,1,MLPMALCUNR,SNDHS2010444017,2010-11,DHS,142,,,,1
SEN,Ouest,3227885,Number of children 6-59 months tested using RDT (unweighted),542,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444001,1444200,Region,Ouest,0,,0,1,MLPMALCUNR,SNDHS2010444001,2010-11,DHS,1217,,,,
SEN,Dakar,2181962,Number of children 6-59 months tested using RDT (unweighted),259,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444002,1444210,Region,..Dakar,0,,0,1,MLPMALCUNR,SNDHS2010444002,2010-11,DHS,765,,,,1
SEN,Thiès,409923,Number of children 6-59 months tested using RDT (unweighted),283,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444003,1444220,Region,..Thiès,0,,0,1,MLPMALCUNR,SNDHS2010444003,2010-11,DHS,452,,,,1
SEN,Centre,2180576,Number of children 6-59 months tested using RDT (unweighted),1624,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444004,1444300,Region,Centre,0,,0,1,MLPMALCUNR,SNDHS2010444004,2010-11,DHS,1485,,,,
SEN,Diourbel,3638928,Number of children 6-59 months tested using RDT (unweighted),322,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444005,1444310,Region,..Diourbel,0,,0,1,MLPMALCUNR,SNDHS2010444005,2010-11,DHS,444,,,,1
SEN,Fatick,2853971,Number of children 6-59 months tested using RDT (unweighted),316,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444010,1444315,Region,..Fatick,0,,0,1,MLPMALCUNR,SNDHS2010444010,2010-11,DHS,244,,,,1
SEN,Kaolack (2005),3543674,Number of children 6-59 months tested using RDT (unweighted),685,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444006,1444320,Region,..Kaolack (2005),0,,0,1,MLPMALCUNR,SNDHS2010444006,2010-11,DHS,523,,,,
SEN,..Kaffrine,2181925,Number of children 6-59 months tested using RDT (unweighted),300,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444007,1444330,Region,....Kaffrine,0,,0,1,MLPMALCUNR,SNDHS2010444007,2010-11,DHS,187,,,,1
SEN,..Kaolack (2010),3163005,Number of children 6-59 months tested using RDT (unweighted),385,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444008,1444340,Region,....Kaolack (2010),0,,0,1,MLPMALCUNR,SNDHS2010444008,2010-11,DHS,336,,,,1
SEN,Sud,2166800,Number of children 6-59 months tested using RDT (unweighted),811,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444011,1444400,Region,Sud,0,,0,1,MLPMALCUNR,SNDHS2010444011,2010-11,DHS,472,,,,
SEN,Ziguinchor,3915296,Number of children 6-59 months tested using RDT (unweighted),173,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444012,1444410,Region,..Ziguinchor,0,,0,1,MLPMALCUNR,SNDHS2010444012,2010-11,DHS,110,,,,1
SEN,Kolda (2005),3244226,Number of children 6-59 months tested using RDT (unweighted),638,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444013,1444420,Region,..Kolda (2005),0,,0,1,MLPMALCUNR,SNDHS2010444013,2010-11,DHS,361,,,,
SEN,..Sédhiou,2181942,Number of children 6-59 months tested using RDT (unweighted),293,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444014,1444430,Region,....Sédhiou,0,,0,1,MLPMALCUNR,SNDHS2010444014,2010-11,DHS,133,,,,1
SEN,..Kolda (2010),4202210,Number of children 6-59 months tested using RDT (unweighted),345,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444015,1444440,Region,....Kolda (2010),0,,0,1,MLPMALCUNR,SNDHS2010444015,2010-11,DHS,228,,,,1
SEN,Tambacounda (2005),2181950,Number of children 6-59 months tested using RDT (unweighted),422,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444019,1444480,Region,..Tambacounda (2005),0,,0,1,MLPMALCUNR,SNDHS2010444019,2010-11,DHS,238,,,,
SEN,..Kédougou,3126756,Number of children 6-59 months tested using RDT (unweighted),127,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444020,1444490,Region,....Kédougou,0,,0,1,MLPMALCUNR,SNDHS2010444020,2010-11,DHS,30,,,,1
SEN,..Tambacounda (2010),2166774,Number of children 6-59 months tested using RDT (unweighted),295,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_UNR,125136070,U,444021,1444500,Region,....Tambacounda (2010),0,,0,1,MLPMALCUNR,SNDHS2010444021,2010-11,DHS,208,,,,1
SEN,Nord et Est,7460205,Malaria prevalence according to microscopy,3.2,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444016,1444100,Region,Nord et Est,0,,0,1,MLPMALCMSY,SNDHS2010444016,2010-11,DHS,604,905,1.4,5,
SEN,Saint Louis,2174849,Malaria prevalence according to microscopy,0,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444018,1444110,Region,..Saint Louis,0,,0,1,MLPMALCMSY,SNDHS2010444018,2010-11,DHS,224,228,0,0,1
SEN,Louga,1296357,Malaria prevalence according to microscopy,0.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444009,1444120,Region,..Louga,0,,0,1,MLPMALCMSY,SNDHS2010444009,2010-11,DHS,273,300,0,1.6,1
SEN,Matam,1245167,Malaria prevalence according to microscopy,0.9,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444017,1444130,Region,..Matam,0,,0,1,MLPMALCMSY,SNDHS2010444017,2010-11,DHS,142,257,0,2.2,1
SEN,Ouest,2174924,Malaria prevalence according to microscopy,1.2,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444001,1444200,Region,Ouest,0,,0,1,MLPMALCMSY,SNDHS2010444001,2010-11,DHS,1209,539,0,2.7,
SEN,Dakar,7424479,Malaria prevalence according to microscopy,1.5,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444002,1444210,Region,..Dakar,0,,0,1,MLPMALCMSY,SNDHS2010444002,2010-11,DHS,761,258,0,3.8,1
SEN,Thiès,6399073,Malaria prevalence according to microscopy,0.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444003,1444220,Region,..Thiès,0,,0,1,MLPMALCMSY,SNDHS2010444003,2010-11,DHS,448,281,0,2,1
SEN,Centre,50789,Malaria prevalence according to microscopy,3,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444004,1444300,Region,Centre,0,,0,1,MLPMALCMSY,SNDHS2010444004,2010-11,DHS,1477,1615,1.9,4,
SEN,Diourbel,185816,Malaria prevalence according to microscopy,2.6,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444005,1444310,Region,..Diourbel,0,,0,1,MLPMALCMSY,SNDHS2010444005,2010-11,DHS,441,319,0.3,5,1
SEN,Fatick,6185154,Malaria prevalence according to microscopy,2.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444010,1444315,Region,..Fatick,0,,0,1,MLPMALCMSY,SNDHS2010444010,2010-11,DHS,242,314,0,5.6,1
SEN,Kaolack (2005),2187289,Malaria prevalence according to microscopy,4.6,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444006,1444320,Region,..Kaolack (2005),0,,0,1,MLPMALCMSY,SNDHS2010444006,2010-11,DHS,521,682,2.7,6.4,
SEN,..Kaffrine,118150,Malaria prevalence according to microscopy,5.6,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444007,1444330,Region,....Kaffrine,0,,0,1,MLPMALCMSY,SNDHS2010444007,2010-11,DHS,186,298,2.4,8.8,1
SEN,..Kaolack (2010),2250322,Malaria prevalence according to microscopy,4,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444008,1444340,Region,....Kaolack (2010),0,,0,1,MLPMALCMSY,SNDHS2010444008,2010-11,DHS,335,384,1.7,6.3,1
SEN,Sud,7399072,Malaria prevalence according to microscopy,6.3,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444011,1444400,Region,Sud,0,,0,1,MLPMALCMSY,SNDHS2010444011,2010-11,DHS,470,808,2.2,10.5,
SEN,Ziguinchor,1299134,Malaria prevalence according to microscopy,2,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444012,1444410,Region,..Ziguinchor,0,,0,1,MLPMALCMSY,SNDHS2010444012,2010-11,DHS,110,172,0.1,4,1
SEN,Kolda (2005),6198547,Malaria prevalence according to microscopy,7.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444013,1444420,Region,..Kolda (2005),0,,0,1,MLPMALCMSY,SNDHS2010444013,2010-11,DHS,361,636,2.3,13,
SEN,..Sédhiou,145646,Malaria prevalence according to microscopy,0.3,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444014,1444430,Region,....Sédhiou,0,,0,1,MLPMALCMSY,SNDHS2010444014,2010-11,DHS,132,291,0,0.8,1
SEN,..Kolda (2010),5133621,Malaria prevalence according to microscopy,11.9,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444015,1444440,Region,....Kolda (2010),0,,0,1,MLPMALCMSY,SNDHS2010444015,2010-11,DHS,228,345,3.9,20,1
SEN,Tambacounda (2005),1297256,Malaria prevalence according to microscopy,7.5,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444019,1444480,Region,..Tambacounda (2005),0,,0,1,MLPMALCMSY,SNDHS2010444019,2010-11,DHS,239,420,2.8,12.1,
SEN,..Kédougou,2182041,Malaria prevalence according to microscopy,13.5,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444020,1444490,Region,....Kédougou,0,,0,1,MLPMALCMSY,SNDHS2010444020,2010-11,DHS,29,124,7.2,19.8,1
SEN,..Tambacounda (2010),7418779,Malaria prevalence according to microscopy,6.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_MSY,125136110,I,444021,1444500,Region,....Tambacounda (2010),0,,0,1,MLPMALCMSY,SNDHS2010444021,2010-11,DHS,210,296,1.6,11.7,1
SEN,Nord et Est,2174839,Number of children 6-59 months tested using microscopy,604,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444016,1444100,Region,Nord et Est,0,,0,1,MLPMALCNMM,SNDHS2010444016,2010-11,DHS,,905,,,
SEN,Saint Louis,2174861,Number of children 6-59 months tested using microscopy,224,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444018,1444110,Region,..Saint Louis,0,,0,1,MLPMALCNMM,SNDHS2010444018,2010-11,DHS,,228,,,1
SEN,Louga,2180583,Number of children 6-59 months tested using microscopy,273,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444009,1444120,Region,..Louga,0,,0,1,MLPMALCNMM,SNDHS2010444009,2010-11,DHS,,300,,,1
SEN,Matam,5949231,Number of children 6-59 months tested using microscopy,142,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444017,1444130,Region,..Matam,0,,0,1,MLPMALCNMM,SNDHS2010444017,2010-11,DHS,,257,,,1
SEN,Ouest,2174813,Number of children 6-59 months tested using microscopy,1209,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444001,1444200,Region,Ouest,0,,0,1,MLPMALCNMM,SNDHS2010444001,2010-11,DHS,,539,,,
SEN,Dakar,2181960,Number of children 6-59 months tested using microscopy,761,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444002,1444210,Region,..Dakar,0,,0,1,MLPMALCNMM,SNDHS2010444002,2010-11,DHS,,258,,,1
SEN,Thiès,6362432,Number of children 6-59 months tested using microscopy,448,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444003,1444220,Region,..Thiès,0,,0,1,MLPMALCNMM,SNDHS2010444003,2010-11,DHS,,281,,,1
SEN,Centre,2180587,Number of children 6-59 months tested using microscopy,1477,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444004,1444300,Region,Centre,0,,0,1,MLPMALCNMM,SNDHS2010444004,2010-11,DHS,,1615,,,
SEN,Diourbel,6024112,Number of children 6-59 months tested using microscopy,441,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444005,1444310,Region,..Diourbel,0,,0,1,MLPMALCNMM,SNDHS2010444005,2010-11,DHS,,319,,,1
SEN,Fatick,6268446,Number of children 6-59 months tested using microscopy,242,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444010,1444315,Region,..Fatick,0,,0,1,MLPMALCNMM,SNDHS2010444010,2010-11,DHS,,314,,,1
SEN,Kaolack (2005),2180569,Number of children 6-59 months tested using microscopy,521,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444006,1444320,Region,..Kaolack (2005),0,,0,1,MLPMALCNMM,SNDHS2010444006,2010-11,DHS,,682,,,
SEN,..Kaffrine,4959399,Number of children 6-59 months tested using microscopy,186,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444007,1444330,Region,....Kaffrine,0,,0,1,MLPMALCNMM,SNDHS2010444007,2010-11,DHS,,298,,,1
SEN,..Kaolack (2010),2166818,Number of children 6-59 months tested using microscopy,335,0,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_NMM,125136160,D,444008,1444340,Region,....Kaolack (2010),0,,0,1,MLPMALCNMM,SNDHS2010444008,2010-11,DHS,,384,,,1
